lambda,ret,risk,vol,solver,runtime
0.1,0.09793488464472608,0.05567391656264101,0.23595320841777295,GreedySharpe,0.20225187599862693
0.2682695795279726,0.09204630462090665,0.039133726172579326,0.1978224612438621,GreedySharpe,0.0949295649988926
0.7196856730011519,0.09113504620223531,0.034082233973793175,0.18461374264608033,GreedySharpe,0.21072211999853607
1.9306977288832496,0.09042311884049237,0.03362623716188473,0.1833745815588538,GreedySharpe,0.2681909290004114
5.17947467923121,0.08361826258842592,0.0313477107635189,0.17705284737478497,GreedySharpe,0.10022672500053886
13.894954943731374,0.029434288206291712,0.022548904128760153,0.15016292528037722,GreedySharpe,0.388666644001205
37.27593720314938,0.008171126887785006,0.020890237908165812,0.1445345561039498,GreedySharpe,0.5209259349976492
100.0,0.008171138222049802,0.020890238016539855,0.14453455647885682,GreedySharpe,0.5243317089989432
0.1,0.0907240847056522,0.033599956730876304,0.18330290977198455,GA,1.0483465290017193
0.2682695795279726,0.09682744699443689,0.055675337489292404,0.23595621943337794,GA,1.0099001259986835
0.7196856730011519,0.09113504620223531,0.03408223397379317,0.1846137426460803,GA,1.0309935639998002
1.9306977288832496,0.08511583528416408,0.03259276511971586,0.1805346645930245,GA,0.6791049660023418
5.17947467923121,0.0616180155030622,0.026035875916159947,0.1613563631102286,GA,0.6695478900001035
13.894954943731374,0.027163872664731224,0.022456654324241918,0.14985544476008178,GA,0.6851388840004802
37.27593720314938,0.009515774297349504,0.021085769340408234,0.145209398250968,GA,0.6763608569999633
100.0,0.0030706383909686295,0.020901716168853286,0.14457425832026005,GA,0.6171099780003715
0.1,0.10231051190908999,0.05353366146307007,0.23137342428003713,MILP-SCIP,0.096481
0.2682695795279726,0.09991745106012474,0.0417752137013134,0.20438985713903077,MILP-SCIP,0.153962
0.7196856730011519,0.09752323758601136,0.03563907481983103,0.1887831423083932,MILP-SCIP,0.143751
1.9306977288832496,0.09402421013594736,0.03301994966912522,0.18171392260673155,MILP-SCIP,0.197881
5.17947467923121,0.06343416286134466,0.02321797813416002,0.15237446680517056,MILP-SCIP,0.19325299999999998
13.894954943731374,0.039281766229330876,0.020244801319277403,0.14228422723294878,MILP-SCIP,0.208871
37.27593720314938,0.021926764238206792,0.01944914086110267,0.1394601766136221,MILP-SCIP,0.238652
100.0,0.012547312873887785,0.019276549846902333,0.13884001529423112,MILP-SCIP,0.6853429999999999
