N,K,lam,variante,status,runtime_s,obj,support,is_top_K_mu
50,10,5.0,sans lex,feasible,10.01,539160800.0,1;7;10;21;23;25;26;32;38;48,False
50,10,5.0,avec lex,feasible,10.016,550104780.0,4;7;10;21;23;25;26;32;35;38,True
